CName,CCode,IName,ICode,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bangladesh,BGD,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,5.946642263,5.67298284,4.199778687,4.99230555,3.278378623,2.932553053,2.317258122,2.554453116,2.579988823,2.400561288,2.146450097,1.821421572,2.546453403,2.374527125,2.081673233,1.851611969,2.060906671,2.390829337,1.257445485,1.289897754,1.22070787,1.685637093
Brazil,BRA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.040571613,-0.067273152,0.046729733,0.046794033,0.035798233,0.0326374,0.030392072,0.034186768,0.021669932,0.036907664,0.041092225,0.042698835,0.03709298,0.023980719,0.028366756,0.010680851,0.023993362,0.028515885,0.02121569,0.021541404,0.033559985,0.058094599
China,CHN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.508160929,0.707864694,0.730135841,0.562284855,0.484572623,0.31293156,0.217426097,0.243172522,0.223339809,0.144596758,0.118642118,0.104023789,0.083187377,0.089059884,0.080967024,0.046084147,0.042487075,0.032513793,0.022667722,0.010942431,-0.009691907,-0.002371788
Ethiopia,ETH,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,8.216968569,11.23264698,12.46920634,15.64341134,11.61629022,9.669071467,6.576755438,8.248928088,8.271715405,8.549391736,13.72695092,17.25812074,19.34624774,18.48597177,15.86873855,13.57944167,13.46124136,12.9886168,13.56258619,13.44755778,11.8451615,7.856446369
France,FRA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,IND,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.010676947,0.838782293,0.521562561,0.704697243,0.476986473,0.477783615,0.391144843,0.377285059,0.320218069,0.291082155,0.353670624,0.337713788,0.118885707,0.108011959,0.226458195,0.146988843,0.112718378,0.17396708,0.184209391,0.16600809,0.173183389,0.090766269
Indonesia,IDN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.64317944,1.615509482,1.27093138,0.899464124,0.663236815,0.483838225,0.384606627,1.392506468,1.641175936,1.099672814,1.021399858,0.756855185,0.784759572,0.053813237,0.931758432,0.377701183,0.218093578,0.250069286,0.200987363,0.202022912,0.050993381,0.007953679
"Iran, Islamic Rep.",IRN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,0.236407838,0.196534891,0.206871003,0.149400173,0.190378672,0.159884624,0.154273682,0.128159144,0.099863047,0.100088425,0.098175116,0.118972066,0.057813476,0.052819033,0.036169613,0.029312955,0.028037703,NA,NA,NA
Israel,ISR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.012272249,3.204420121,1.951481093,1.681770439,0.387031396,2.278951508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,NGA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.035902654,0.982185197,2.145556191,1.205478774,0.801325985,0.576210935,0.594738618,0.696240218,NA,0.431682367,0.439954237,0.561926403,0.513733177,0.739785171,6.481326447,8.117238486,1.265345511,0.66878821,1.069640383,0.98266576,0.794104126,0.797288945
Pakistan,PAK,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.052014275,2.081818779,2.046527128,3.087279093,1.344553032,1.644459708,1.454230689,1.716643593,1.187463396,0.962253626,2.722141863,2.89641992,1.24889359,1.437777561,1.444616583,1.560037931,1.464376448,0.893627036,1.604655951,1.636059486,1.569741729,0.852824878
Saudi Arabia,SAU,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.009985353,0.035142424,0.021365601,0.012312272,0.011696176,0.008789599,8.23E-04,0.011168611,0.013515899,0.011623853,0.007183827,0.009095727,0.006465897,0.007784611,0.007510889,0.006305266,-0.031036809,NA,NA,NA,NA,NA
Somalia,SOM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,9.960743212,6.60694023,6.422234409,5.159437421,4.306539716,3.549171,2.217461011,2.729427588,1.704156199,1.718392633,2.207308064,2.036639839,3.590292397,2.475260588,4.81685745,2.820876527,1.921299309,1.839772065,1.689434736,1.184506036,1.037914378,0.836768697
Sweden,SWE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,USA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,ZMB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,29.33505994,35.94878289,28.72013626,22.99322772,62.76956879,19.84233891,16.65513967,11.54318805,20.9955918,25.65509833,16.36171266,22.7852039,18.44681243,22.42778384,17.90256156,15.39328217,10.08151924,8.429426446,10.22951084,6.166855248,5.734710892,4.917429304
Bangladesh,BGD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,89.86698912,91.05014617,93.39561156,91.34300899,96.55746807,93.55935158,93.9365829,93.28520416,94.23529412,95.25077674,94.29047838,95.98714171,96.20028409,96.96564576,97.16802783,97.46411159,97.584728,97.23185408,98.87978509,98.25221769,98.02092554,NA
